Entry	Gene names	Entry name	Cross-reference (GeneID)
Q9Y263	PLAA PLAP	PLAP_HUMAN	9373
Q96RE7	NACC1 BTBD14B NAC1	NACC1_HUMAN	112939
O43312	MTSS1 KIAA0429 MIM	MTSS1_HUMAN	9788
Q9NP80	PNPLA8 IPLA22 IPLA2G BM-043	PLPL8_HUMAN	50640
Q15319	POU4F3 BRN3C	PO4F3_HUMAN	5459
P08134	RHOC ARH9 ARHC	RHOC_HUMAN	389
Q5VZM2	RRAGB	RRAGB_HUMAN	10325
P20338	RAB4A RAB4	RAB4A_HUMAN	5867
P61020	RAB5B	RAB5B_HUMAN	5869
Q9BRS2	RIOK1 RIO1	RIOK1_HUMAN	83732
Q05823	RNASEL RNS4	RN5A_HUMAN	6041
P51149	RAB7A RAB7	RAB7A_HUMAN	7879
O14966	RAB29 RAB7L1	RAB7L_HUMAN	8934
Q15311	RALBP1 RLIP1 RLIP76	RBP1_HUMAN	10928
Q86UU9	TAC4	TKN4_HUMAN	255061
Q9NR97	TLR8 UNQ249/PRO286	TLR8_HUMAN	51311
O75443	TECTA	TECTA_HUMAN	7007
Q8TBZ6	TRMT10A RG9MTD2	TM10A_HUMAN	93587
Q9BRT2	UQCC2 C6orf125 MNF1	UQCC2_HUMAN	84300
Q9UKY1	ZHX1	ZHX1_HUMAN	11244
Q9GZS3	WDR61	WDR61_HUMAN	80349
P35443	THBS4 TSP4	TSP4_HUMAN	7060
O95785	WIZ ZNF803	WIZ_HUMAN	58525
O95859	TSPAN12 NET2 TM4SF12 UNQ774/PRO1568	TSN12_HUMAN	23554
P35442	THBS2 TSP2	TSP2_HUMAN	7058
Q8NAT1	POMGNT2 AGO61 C3orf39 EOGTL GTDC2	PMGT2_HUMAN	84892
Q9Y3P9	RABGAP1 HSPC094	RBGP1_HUMAN	23637
Q13472	TOP3A TOP3	TOP3A_HUMAN	7156
Q99952	PTPN18 BDP1	PTN18_HUMAN	26469
Q96T37	RBM15 OTT OTT1	RBM15_HUMAN	64783
P43007	SLC1A4 ASCT1 SATT	SATT_HUMAN	6509
P63220	RPS21	RS21_HUMAN	6227
O15273	TCAP	TELT_HUMAN	8557
Q9BSA9	TMEM175	TM175_HUMAN	84286
Q96EC8	YIPF6	YIPF6_HUMAN	286451
Q9HAV4	XPO5 KIAA1291 RANBP21	XPO5_HUMAN	57510
Q495M9	USH1G SANS	USH1G_HUMAN	124590
P18887	XRCC1	XRCC1_HUMAN	7515
O00507	USP9Y DFFRY	USP9Y_HUMAN	8287
P11441	UBL4A DXS254E GDX UBL4	UBL4A_HUMAN	8266
Q8IWV8	UBR2 C6orf133 KIAA0349	UBR2_HUMAN	23304
Q7RTX1	TAS1R1 GPR70 T1R1 TR1 GM148	TS1R1_HUMAN	80835
P57081	WDR4	WDR4_HUMAN	10785
Q8WVS4	WDR60	WDR60_HUMAN	55112
Q9BZM6	ULBP1 N2DL1 RAET1I	ULBP1_HUMAN	80329
Q9UQR1	ZNF148 ZBP89	ZN148_HUMAN	7707
Q70J99	UNC13D	UN13D_HUMAN	201294
P11172	UMPS OK/SW-cl.21	UMPS_HUMAN	7372
Q15631	TSN	TSN_HUMAN	7247
Q99598	TSNAX TRAX	TSNAX_HUMAN	7257
Q01534	TSPY1 TSPY	TSPY1_HUMAN	100289087
Q9BXA7	TSSK1B SPOGA1 SPOGA4 STK22A STK22D TSSK1 FKSG81	TSSK1_HUMAN	83942
Q9BXA6	TSSK6 SSTK FKSG82	TSSK6_HUMAN	83983
O14905	WNT9B WNT14B WNT15 UNQ6973/PRO21956	WNT9B_HUMAN	7484
Q9ULT0	TTC7A KIAA1140 TTC7	TTC7A_HUMAN	57217
Q99536	VAT1	VAT1_HUMAN	10493
Q9UPY5	SLC7A11	XCT_HUMAN	23657
O15439	ABCC4 MRP4	MRP4_HUMAN	10257
Q8IXW5	RPAP2 C1orf82	RPAP2_HUMAN	79871
P10826	RARB HAP NR1B2	RARB_HUMAN	5915
P29350	PTPN6 HCP PTP1C	PTN6_HUMAN	5777
P61313	RPL15 EC45 TCBAP0781	RL15_HUMAN	6138
Q9BQ04	RBM4B RBM30	RBM4B_HUMAN	83759
Q14498	RBM39 HCC1 RNPC2	RBM39_HUMAN	9584
Q3LXA3	TKFC DAK	TKFC_HUMAN	26007
Q9GZZ9	UBA5 UBE1DC1	UBA5_HUMAN	79876
Q16763	UBE2S E2EPF OK/SW-cl.73	UBE2S_HUMAN	27338
Q7Z6J8	UBE3D C6orf157 H10BH UBE2CBP	UBE3D_HUMAN	90025
Q9UK80	USP21 USP23 PP1490	UBP21_HUMAN	27005
Q86UV5	USP48 USP31	UBP48_HUMAN	84196
Q14CS0	UBXN2B	UBX2B_HUMAN	137886
O96006	ZBED1 ALTE DREF KIAA0785 TRAMP	ZBED1_HUMAN	9189
A2A288	ZC3H12D C6orf95 MCPIP4 TFL	ZC12D_HUMAN	340152
Q53FD0	ZC2HC1C C14orf140 FAM164C	ZC21C_HUMAN	79696
Q2T9J0	TYSND1	TYSD1_HUMAN	219743
P04818	TYMS TS OK/SW-cl.29	TYSY_HUMAN	7298
Q5W0Z9	ZDHHC20	ZDH20_HUMAN	253832
Q92558	WASF1 KIAA0269 SCAR1 WAVE1	WASF1_HUMAN	8936
P35625	TIMP3	TIMP3_HUMAN	7078
Q8NHU6	TDRD7 PCTAIRE2BP	TDRD7_HUMAN	23424
P68036	UBE2L3 UBCE7 UBCH7	UB2L3_HUMAN	7332
Q9UHD9	UBQLN2 N4BP4 PLIC2 HRIHFB2157	UBQL2_HUMAN	29978
Q14119	VEZF1 DB1 ZNF161	VEZF1_HUMAN	7716
Q8TAF3	WDR48 KIAA1449 UAF1	WDR48_HUMAN	57599
O43379	WDR62 C19orf14	WDR62_HUMAN	284403
P30536	TSPO BZRP MBR	TSPO_HUMAN	706
Q9Y6M5	SLC30A1 ZNT1	ZNT1_HUMAN	7779
Q6SA08	TSSK4 C14orf20 STK22E TSSK5	TSSK4_HUMAN	283629
P33981	TTK MPS1 MPS1L1	TTK_HUMAN	7272
P02766	TTR PALB	TTHY_HUMAN	7276
Q15904	ATP6AP1 ATP6IP1 ATP6S1 VATPS1 XAP3	VAS1_HUMAN	537
O95497	VNN1	VNN1_HUMAN	8876
O75436	VPS26A VPS26	VP26A_HUMAN	9559
P27352	CBLIF GIF IFMH	IF_HUMAN	2694
Q8WYA0	IFT81 CDV1	IFT81_HUMAN	28981
