Entry	yourlist:M20170210A7434721E10EE6586998A056CCD0537E71EBC78	Involvement in disease	Cross-reference (Orphanet)
Q96IC2	44M2.3		
P04217	A1BG		
Q9NQ94	A1CF		
P01023	A2M		
A8K2U0	A2ML1		648;
U3KPV4	A3GALT2		
Q9NPC4	A4GALT		
Q9UNA3	A4GNT		
Q9NRG9	AAAS	DISEASE: Achalasia-addisonianism-alacrima syndrome (AAAS) [MIM:231550]: An autosomal recessive disorder characterized by adreno-corticotropic hormone (ACTH)-resistant adrenal failure, achalasia of the esophageal cardia and alacrima. The syndrome is associated with variable and progressive neurological impairment involving the central, peripheral, and autonomic nervous system. Other features such as palmoplantar hyperkeratosis, short stature, facial dysmorphy and osteoporosis may also be present. {ECO:0000269|PubMed:11159947}. Note=The disease is caused by mutations affecting the gene represented in this entry.	869;
Q86V21	AACS		
P22760	AADAC		
Q8N5Z0	AADAT		
Q6PD74	AAGAB	DISEASE: Keratoderma, palmoplantar, punctate 1A (PPKP1A) [MIM:148600]: An autosomal dominant dermatological disorder characterized by multiple hyperkeratotic, centrally indented, papules that develop in early adolescence, or later, and are irregularly distributed on the palms and soles (other palmoplantar keratoses have mostly diffuse hyperkeratinization). In mechanically irritated areas, confluent plaques can be found. Interfamilial and intrafamilial severity shows broad variation. In some cases, PPKP1 is associated with the development of early- and late-onset malignancies, including squamous cell carcinoma. {ECO:0000269|PubMed:23000146, ECO:0000269|PubMed:23064416}. Note=The disease is caused by mutations affecting the gene represented in this entry.	79501;
Q2M2I8	AAK1		
Q9H7C9	AAMDC		
Q13685	AAMP		
Q16613	AANAT		
P49588	AARS	DISEASE: Charcot-Marie-Tooth disease 2N (CMT2N) [MIM:613287]: An axonal form of Charcot-Marie-Tooth disease, a disorder of the peripheral nervous system, characterized by progressive weakness and atrophy, initially of the peroneal muscles and later of the distal muscles of the arms. Charcot-Marie-Tooth disease is classified in two main groups on the basis of electrophysiologic properties and histopathology: primary peripheral demyelinating neuropathies (designated CMT1 when they are dominantly inherited) and primary peripheral axonal neuropathies (CMT2). Neuropathies of the CMT2 group are characterized by signs of axonal degeneration in the absence of obvious myelin alterations, normal or slightly reduced nerve conduction velocities, and progressive distal muscle weakness and atrophy. Nerve conduction velocities are normal or slightly reduced. {ECO:0000269|PubMed:20045102, ECO:0000269|PubMed:22009580, ECO:0000269|PubMed:22206013}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Epileptic encephalopathy, early infantile, 29 (EIEE29) [MIM:616339]: A form of epileptic encephalopathy, a heterogeneous group of severe childhood onset epilepsies characterized by refractory seizures, neurodevelopmental impairment, and poor prognosis. Development is normal prior to seizure onset, after which cognitive and motor delays become apparent. EIEE29 patients manifest severe infantile epileptic encephalopathy, clubfoot, absent deep tendon reflexes, extrapyramidal symptoms, and persistently deficient myelination. {ECO:0000269|PubMed:25817015}. Note=The disease is caused by mutations affecting the gene represented in this entry.	228174;
Q5JTZ9	AARS2	DISEASE: Combined oxidative phosphorylation deficiency 8 (COXPD8) [MIM:614096]: A mitochondrial disease characterized by a lethal infantile hypertrophic cardiomyopathy, generalized muscle dysfunction and some neurologic involvement. The liver is not affected. {ECO:0000269|PubMed:21549344}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Leukoencephalopathy, progressive, with ovarian failure (LKENP) [MIM:615889]: An autosomal recessive neurodegenerative disorder characterized by childhood- to adulthood-onset of signs of neurologic deterioration consisting of ataxia, spasticity, and cognitive decline with features of frontal lobe dysfunction. Brain MRI shows leukoencephalopathy with striking involvement of deep white matter, and cerebellar atrophy. All female patients develop premature ovarian failure. {ECO:0000269|PubMed:24808023}. Note=The disease is caused by mutations affecting the gene represented in this entry.	319504;
Q9BTE6	AARSD1		
Q9NRN7	AASDHPPT		
Q9UDR5	AASS	DISEASE: Hyperlysinemia, 1 (HYPLYS1) [MIM:238700]: An autosomal recessive metabolic condition with variable clinical features. Some patients present with non-specific seizures, hypotonia, or mildly delayed psychomotor development, and increased serum lysine and pipecolic acid on laboratory analysis. However, about half of the probands are reported to be asymptomatic, and hyperlysinemia is generally considered to be a benign metabolic variant. {ECO:0000269|PubMed:10775527}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: 2,4-dienoyl-CoA reductase deficiency (DECRD) [MIM:616034]: A rare, autosomal recessive, inborn error of polyunsaturated fatty acids and lysine metabolism, resulting in mitochondrial dysfunction. Affected individuals have a severe encephalopathy with neurologic and metabolic abnormalities beginning in early infancy. Laboratory studies show increased C10:2 carnitine levels and hyperlysinemia. {ECO:0000269|PubMed:24847004}. Note=The protein represented in this entry is involved in disease pathogenesis. A selective decrease in mitochondrial NADP(H) levels due to NADK2 mutations causes a deficiency of NADPH-dependent mitochondrial enzymes, such as DECR1 and AASS. {ECO:0000269|PubMed:24847004}.	2203;3124;
Q9NY61	AATF		
Q6ZMQ8	AATK		
P80404	ABAT	DISEASE: GABA transaminase deficiency (GABATD) [MIM:613163]: An enzymatic deficiency resulting in psychomotor retardation, hypotonia, hyperreflexia, lethargy, refractory seizures, and EEG abnormalities. {ECO:0000269|PubMed:10407778}. Note=The disease is caused by mutations affecting the gene represented in this entry.	2066;
O95477	ABCA1	DISEASE: High density lipoprotein deficiency 1 (HDLD1) [MIM:205400]: Recessive disorder characterized by absence of high density lipoprotein (HDL) cholesterol from plasma, accumulation of cholesteryl esters, premature coronary artery disease (CAD), hepatosplenomegaly, recurrent peripheral neuropathy and progressive muscle wasting and weakness. {ECO:0000269|PubMed:10431236, ECO:0000269|PubMed:10431237, ECO:0000269|PubMed:10706591, ECO:0000269|PubMed:10938021, ECO:0000269|PubMed:11086027, ECO:0000269|PubMed:11257260, ECO:0000269|PubMed:11476961, ECO:0000269|PubMed:11476965, ECO:0000269|PubMed:11785958, ECO:0000269|PubMed:12111371, ECO:0000269|PubMed:12111381, ECO:0000269|PubMed:12407001, ECO:0000269|PubMed:14576201, ECO:0000269|PubMed:15019541, ECO:0000269|PubMed:15158913, ECO:0000269|PubMed:15262183, ECO:0000269|PubMed:15297675, ECO:0000269|PubMed:15520867}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: High density lipoprotein deficiency 2 (HDLD2) [MIM:604091]: Inherited as autosomal dominant trait. It is characterized by moderately low HDL cholesterol, predilection toward premature coronary artery disease (CAD) and a reduction in cellular cholesterol efflux. {ECO:0000269|PubMed:10431236, ECO:0000269|PubMed:10533863, ECO:0000269|PubMed:11086027, ECO:0000269|PubMed:12009425, ECO:0000269|PubMed:12204794, ECO:0000269|PubMed:15722566}. Note=The disease is caused by mutations affecting the gene represented in this entry.	425;31150;
Q8WWZ4	ABCA10		
Q86UK0	ABCA12	DISEASE: Ichthyosis, congenital, autosomal recessive 4A (ARCI4A) [MIM:601277]: A form of autosomal recessive congenital ichthyosis, a disorder of keratinization with abnormal differentiation and desquamation of the epidermis, resulting in abnormal skin scaling over the whole body. The main skin phenotypes are lamellar ichthyosis (LI) and non-bullous congenital ichthyosiform erythroderma (NCIE), although phenotypic overlap within the same patient or among patients from the same family can occur. Lamellar ichthyosis is a condition often associated with an embedment in a collodion-like membrane at birth; skin scales later develop, covering the entire body surface. Non-bullous congenital ichthyosiform erythroderma characterized by fine whitish scaling on an erythrodermal background; larger brownish scales are present on the buttocks, neck and legs. {ECO:0000269|PubMed:12915478, ECO:0000269|PubMed:17508018, ECO:0000269|PubMed:18284401, ECO:0000269|PubMed:19262603, ECO:0000269|PubMed:22257947}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Ichthyosis, congenital, autosomal recessive 4B (ARCI4B) [MIM:242500]: A rare, very severe form of congenital ichthyosis, in which the neonate is born with a thick covering of armor-like scales. The skin dries out to form hard diamond-shaped plaques separated by fissures, resembling 'armor plating'. The normal facial features are severely affected, with distortion of the lips (eclabion), eyelids (ectropion), ears, and nostrils. Affected babies are often born prematurely and rarely survive the perinatal period. Babies who survive into infancy and beyond develop skin changes resembling severe non-bullous congenital ichthyosiform erythroderma. {ECO:0000269|PubMed:15756637, ECO:0000269|PubMed:16675967, ECO:0000269|PubMed:16902423}. Note=The disease is caused by mutations affecting the gene represented in this entry.	79394;457;313;
Q86UQ4	ABCA13		
Q9BZC7	ABCA2		
Q99758	ABCA3	DISEASE: Pulmonary surfactant metabolism dysfunction 3 (SMDP3) [MIM:610921]: A rare lung disorder due to impaired surfactant homeostasis. It is characterized by alveolar filling with floccular material that stains positive using the periodic acid-Schiff method and is derived from surfactant phospholipids and protein components. Excessive lipoproteins accumulation in the alveoli results in severe respiratory distress. {ECO:0000269|PubMed:15044640}. Note=The disease is caused by mutations affecting the gene represented in this entry.	264675;217563;
P78363	ABCA4	DISEASE: Stargardt disease 1 (STGD1) [MIM:248200]: A common hereditary macular degeneration. It is characterized by decreased central vision, atrophy of the macula and underlying retinal pigment epithelium, and frequent presence of prominent flecks in the posterior pole of the retina. {ECO:0000269|PubMed:10090887, ECO:0000269|PubMed:10206579, ECO:0000269|PubMed:10612508, ECO:0000269|PubMed:10634594, ECO:0000269|PubMed:10711710, ECO:0000269|PubMed:10746567, ECO:0000269|PubMed:10958763, ECO:0000269|PubMed:11328725, ECO:0000269|PubMed:11385708, ECO:0000269|PubMed:11527935, ECO:0000269|PubMed:11594993, ECO:0000269|PubMed:18977788, ECO:0000269|PubMed:24444108, ECO:0000269|PubMed:9054934, ECO:0000269|PubMed:9490294, ECO:0000269|PubMed:9503029, ECO:0000269|PubMed:9781034, ECO:0000269|PubMed:9973280}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Fundus flavimaculatus (FFM) [MIM:248200]: Autosomal recessive retinal disorder very similar to Stargardt disease. In contrast to Stargardt disease, FFM is characterized by later onset and slowly progressive course. {ECO:0000269|PubMed:11379881, ECO:0000269|PubMed:11385708, ECO:0000269|PubMed:9781034}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Macular degeneration, age-related, 2 (ARMD2) [MIM:153800]: A form of age-related macular degeneration, a multifactorial eye disease and the most common cause of irreversible vision loss in the developed world. In most patients, the disease is manifest as ophthalmoscopically visible yellowish accumulations of protein and lipid that lie beneath the retinal pigment epithelium and within an elastin-containing structure known as Bruch membrane. {ECO:0000269|PubMed:19028736, ECO:0000269|PubMed:9295268}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.; DISEASE: Cone-rod dystrophy 3 (CORD3) [MIM:604116]: An inherited retinal dystrophy characterized by retinal pigment deposits visible on fundus examination, predominantly in the macular region, and initial loss of cone photoreceptors followed by rod degeneration. This leads to decreased visual acuity and sensitivity in the central visual field, followed by loss of peripheral vision. Severe loss of vision occurs earlier than in retinitis pigmentosa. {ECO:0000269|PubMed:10958761, ECO:0000269|PubMed:11385708, ECO:0000269|PubMed:11527935}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Retinitis pigmentosa 19 (RP19) [MIM:601718]: A retinal dystrophy belonging to the group of pigmentary retinopathies. Retinitis pigmentosa is characterized by retinal pigment deposits visible on fundus examination and primary loss of rod photoreceptor cells followed by secondary loss of cone photoreceptors. Patients typically have night vision blindness and loss of midperipheral visual field. As their condition progresses, they lose their far peripheral visual field and eventually central vision as well. RP19 is characterized by choroidal atrophy. Note=The disease is caused by mutations affecting the gene represented in this entry.	279;1872;791;827;
Q8WWZ7	ABCA5		2026;
Q8N139	ABCA6		
Q8IZY2	ABCA7	DISEASE: Alzheimer disease 9 (AD9) [MIM:608907]: A familial, late-onset form of Alzheimer disease, a neurodegenerative disorder characterized by progressive dementia, loss of cognitive abilities, and deposition of fibrillar amyloid proteins as intraneuronal neurofibrillary tangles, extracellular amyloid plaques and vascular amyloid deposits. The major constituent of these plaques is the neurotoxic amyloid-beta-APP 40-42 peptide (s), derived proteolytically from the transmembrane precursor protein APP by sequential secretase processing. The cytotoxic C-terminal fragments (CTFs) and the caspase-cleaved products such as C31 derived from APP, are also implicated in neuronal death. {ECO:0000269|PubMed:25807283, ECO:0000269|PubMed:26141617}. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.	
O94911	ABCA8		
Q8IUA7	ABCA9		
P08183	ABCB1	DISEASE: Inflammatory bowel disease 13 (IBD13) [MIM:612244]: A chronic, relapsing inflammation of the gastrointestinal tract with a complex etiology. It is subdivided into Crohn disease and ulcerative colitis phenotypes. Crohn disease may affect any part of the gastrointestinal tract from the mouth to the anus, but most frequently it involves the terminal ileum and colon. Bowel inflammation is transmural and discontinuous; it may contain granulomas or be associated with intestinal or perianal fistulas. In contrast, in ulcerative colitis, the inflammation is continuous and limited to rectal and colonic mucosal layers; fistulas and granulomas are not observed. Both diseases include extraintestinal inflammation of the skin, eyes, or joints. Note=Disease susceptibility is associated with variations affecting the gene represented in this entry.	771;
Q9NRK6	ABCB10		
O95342	ABCB11	DISEASE: Cholestasis, progressive familial intrahepatic, 2 (PFIC2) [MIM:601847]: A disorder characterized by early onset of cholestasis that progresses to hepatic fibrosis, cirrhosis, and end-stage liver disease before adulthood. {ECO:0000269|PubMed:10579978, ECO:0000269|PubMed:11815775, ECO:0000269|PubMed:24969679, ECO:0000269|PubMed:9806540}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Cholestasis, benign recurrent intrahepatic, 2 (BRIC2) [MIM:605479]: A disorder characterized by intermittent episodes of cholestasis without progression to liver failure. There is initial elevation of serum bile acids, followed by cholestatic jaundice which generally spontaneously resolves after periods of weeks to months. The cholestatic attacks vary in severity and duration. Patients are asymptomatic between episodes, both clinically and biochemically. {ECO:0000269|PubMed:15300568, ECO:0000269|PubMed:16039748}. Note=The disease is caused by mutations affecting the gene represented in this entry.	99961;69665;79304;
P21439	ABCB4	DISEASE: Cholestasis, progressive familial intrahepatic, 3 (PFIC3) [MIM:602347]: A disorder characterized by early onset of cholestasis that progresses to hepatic fibrosis, cirrhosis, and end-stage liver disease before adulthood. {ECO:0000269|PubMed:11313315, ECO:0000269|PubMed:12671900, ECO:0000269|PubMed:17726488, ECO:0000269|PubMed:21119540, ECO:0000269|PubMed:24045840, ECO:0000269|PubMed:24594635, ECO:0000269|PubMed:24806754, ECO:0000269|PubMed:9419367}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Cholestasis of pregnancy, intrahepatic 3 (ICP3) [MIM:614972]: A liver disorder of pregnancy. It presents during the second or, more commonly, the third trimester of pregnancy with intense pruritus which becomes more severe with advancing gestation and cholestasis. It causes fetal distress, spontaneous premature delivery and intrauterine death. Patients have spontaneous and progressive disappearance of cholestasis after delivery. Cholestasis results from abnormal biliary transport from the liver into the small intestine. {ECO:0000269|PubMed:10767346, ECO:0000269|PubMed:12746424, ECO:0000269|PubMed:15077010}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Gallbladder disease 1 (GBD1) [MIM:600803]: One of the major digestive diseases. Gallstones composed of cholesterol (cholelithiasis) are the common manifestations in western countries. Most people with gallstones, however, remain asymptomatic through their lifetimes. {ECO:0000269|PubMed:11313316, ECO:0000269|PubMed:12891548, ECO:0000269|PubMed:22331132, ECO:0000269|PubMed:23533021, ECO:0000269|PubMed:24723470, ECO:0000269|Ref.2}. Note=The disease is caused by mutations affecting the gene represented in this entry.	69665;69663;79305;
Q2M3G0	ABCB5		
Q9NP58	ABCB6	DISEASE: Microphthalmia, isolated, with coloboma, 7 (MCOPCB7) [MIM:614497]: A disorder of eye formation, ranging from small size of a single eye to complete bilateral absence of ocular tissues. Ocular abnormalities like opacities of the cornea and lens, scaring of the retina and choroid, and other abnormalities may also be present. Ocular colobomas are a set of malformations resulting from abnormal morphogenesis of the optic cup and stalk, and the fusion of the fetal fissure (optic fissure). {ECO:0000269|PubMed:22226084}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Dyschromatosis universalis hereditaria 3 (DUH3) [MIM:615402]: An autosomal dominant pigmentary genodermatosis characterized by a mixture of hyperpigmented and hypopigmented macules distributed randomly over the body, that appear in infancy or early childhood. The trunk and extremities are the dominant sites of abnormal pigmentation. Facial lesions can be seen in 50% of affected individuals, but involvement of palms and soles is unusual. Abnormalities of hair and nails have also been reported. Dyschromatosis universalis hereditaria may be associated with abnormalities of dermal connective tissue, nerve tissue, or other systemic complications. {ECO:0000269|PubMed:23519333, ECO:0000269|PubMed:24224009, ECO:0000269|PubMed:24498303, ECO:0000269|PubMed:25288164}. Note=The disease is caused by mutations affecting the gene represented in this entry.; DISEASE: Pseudohyperkalemia, familial, 2, due to red cell leak (PSHK2) [MIM:609153]: A dominantly inherited condition characterized by increased serum potassium levels, measured in whole-blood specimens stored at or below room temperature. This condition is not accompanied by clinical symptoms or biological signs except for borderline abnormalities of red cell shape. {ECO:0000269|PubMed:23180570, ECO:0000269|PubMed:24947683}. Note=The disease is caused by mutations affecting the gene represented in this entry.	98938;241;194;
O75027	ABCB7	DISEASE: Anemia, sideroblastic, spinocerebellar ataxia (ASAT) [MIM:301310]: A X-linked recessive disorder characterized by an infantile to early childhood onset of non-progressive cerebellar ataxia and mild anemia, with hypochromia and microcytosis. {ECO:0000269|PubMed:10196363, ECO:0000269|PubMed:11050011, ECO:0000269|PubMed:11843825, ECO:0000269|PubMed:22398176}. Note=The disease is caused by mutations affecting the gene represented in this entry.	2802;
Q9NUT2	ABCB8		
Q9NP78	ABCB9		
P33527	ABCC1		
Q5T3U5	ABCC10		
Q96J66	ABCC11		
Q92887	ABCC2	DISEASE: Dubin-Johnson syndrome (DJS) [MIM:237500]: Autosomal recessive disorder characterized by conjugated hyperbilirubinemia, an increase in the urinary excretion of coproporphyrin isomer I, deposition of melanin-like pigment in hepatocytes, and prolonged retention of sulfobromophthalein, but otherwise normal liver function. {ECO:0000269|PubMed:10053008, ECO:0000269|PubMed:10464142, ECO:0000269|PubMed:11266082, ECO:0000269|PubMed:11477083, ECO:0000269|PubMed:25336012, ECO:0000269|PubMed:9425227}. Note=The disease is caused by mutations affecting the gene represented in this entry.	234;
O15438	ABCC3		
O15439	ABCC4		
O15440	ABCC5		
O95255	ABCC6	DISEASE: Pseudoxanthoma elasticum (PXE) [MIM:264800]: A multisystem disorder characterized by accumulation of mineralized and fragmented elastic fibers in the skin, vascular walls, and Burch membrane in the eye. Clinically, patients exhibit characteristic lesions of the posterior segment of the eye including peau d'orange, angioid streaks, and choroidal neovascularizations, of the skin including soft, ivory colored papules in a reticular pattern that predominantly affect the neck and large flexor surfaces, and of the cardiovascular system with peripheral and coronary arterial occlusive disease as well as gastrointestinal bleedings. {ECO:0000269|PubMed:10811882, ECO:0000269|PubMed:10835642, ECO:0000269|PubMed:10954200, ECO:0000269|PubMed:11427982, ECO:0000269|PubMed:11536079, ECO:0000269|PubMed:11702217, ECO:0000269|PubMed:15086542, ECO:0000269|PubMed:15098239, ECO:0000269|PubMed:15459974, ECO:0000269|PubMed:16086317, ECO:0000269|PubMed:17617515, ECO:0000269|PubMed:19339160, ECO:0000269|PubMed:20034067, ECO:0000269|PubMed:25615550}. Note=The disease is caused by mutations affecting the gene represented in this entry. Homozygous or compound heterozygous ABCC6 mutations have been found in the overwhelming majority of cases. Individuals carrying heterozygous mutations express limited manifestations of the pseudoxanthoma elasticum phenotype.; DISEASE: Arterial calcification of infancy, generalized, 2 (GACI2) [MIM:614473]: A severe autosomal recessive disorder characterized by calcification of the internal elastic lamina of muscular arteries and stenosis due to myointimal proliferation. The disorder is often fatal within the first 6 months of life because of myocardial ischemia resulting in refractory heart failure. {ECO:0000269|PubMed:22209248}. Note=The disease is caused by mutations affecting the gene represented in this entry.	51608;758;
