Entry	Gene names	Entry name
P86434	ADORA2A-AS1 C22orf45	AAS1_HUMAN
Q9UDR5	AASS	AASS_HUMAN
Q8NHS2	GOT1L1	AATC2_HUMAN
Q7Z5M8	ABHD12B C14orf29	AB12B_HUMAN
Q7Z5R6	APBB1IP PREL1 RARP1 RIAM	AB1IP_HUMAN
P31941	APOBEC3A	ABC3A_HUMAN
Q9NRW3	APOBEC3C APOBEC1L PBI	ABC3C_HUMAN
Q6NTF7	APOBEC3H	ABC3H_HUMAN
Q8IUA7	ABCA9	ABCA9_HUMAN
Q8IZY2	ABCA7	ABCA7_HUMAN
Q86UK0	ABCA12 ABC12	ABCAC_HUMAN
Q9NUQ8	ABCF3	ABCF3_HUMAN
P08910	ABHD2 LABH2	ABHD2_HUMAN
Q9NUJ1	ABHD10	ABHDA_HUMAN
Q96IU4	ABHD14B CIB	ABHEB_HUMAN
O95870	ABHD16A BAT5 G5 NG26 PP199	ABHGA_HUMAN
Q9NYB9	ABI2 ARGBPIA	ABI2_HUMAN
O00763	ACACB ACC2 ACCB	ACACB_HUMAN
Q8NC06	ACBD4 HMFT0700	ACBD4_HUMAN
Q5T8D3	ACBD5 KIAA1996	ACBD5_HUMAN
Q96GR2	ACSBG1 BGM KIAA0631 LPD	ACBG1_HUMAN
Q96AP0	ACD PIP1 PTOP TINT1 TPP1	ACD_HUMAN
Q8TDN7	ACER1 ASAH3	ACER1_HUMAN
Q5QJU3	ACER2 ASAH3L PP11646	ACER2_HUMAN
P22303	ACHE	ACES_HUMAN
P02708	CHRNA1 ACHRA CHNRA	ACHA_HUMAN
P17787	CHRNB2	ACHB2_HUMAN
Q05901	CHRNB3	ACHB3_HUMAN
P30926	CHRNB4	ACHB4_HUMAN
Q8NEB7	ACRBP	ACRBP_HUMAN
P10323	ACR ACRS	ACRO_HUMAN
Q9NUB1	ACSS1 ACAS2L KIAA1846	ACS2L_HUMAN
P33121	ACSL1 FACL1 FACL2 LACS LACS1 LACS2	ACSL1_HUMAN
Q9ULC5	ACSL5 ACS5 FACL5 UNQ633/PRO1250	ACSL5_HUMAN
P68032	ACTC1 ACTC	ACTC_HUMAN
O75078	ADAM11 MDC	ADA11_HUMAN
Q9Y3Q7	ADAM18 TMDC3 UNQ858/PRO1867	ADA18_HUMAN
Q6P093	AADACL2	ADCL2_HUMAN
Q30134	HLA-DRB1	2B18_HUMAN
Q95IE3	HLA-DRB1	2B1C_HUMAN
Q5Y7A7	HLA-DRB1	2B1D_HUMAN
P26439	HSD3B2 HSDB3B	3BHS2_HUMAN
Q7L8J4	SH3BP5L KIAA1720 UNQ2766/PRO7133	3BP5L_HUMAN
Q96P26	NT5C1B AIRP FKSG85	5NT1B_HUMAN
P49902	NT5C2 NT5B NT5CP PNT5	5NTC_HUMAN
P21589	NT5E NT5 NTE	5NTD_HUMAN
P52209	PGD PGDH	6PGD_HUMAN
Q5SQ80	ANKRD20A2	A20A2_HUMAN
P01023	A2M CPAMD5 FWP007	A2MG_HUMAN
A7E2S9	ANKRD30BL NCRNA00164	A30BL_HUMAN
P22760	AADAC DAC	AAAD_HUMAN
Q9H7C9	AAMDC C11orf67 PTD015	AAMDC_HUMAN
P54646	PRKAA2 AMPK AMPK2	AAPK2_HUMAN
Q99424	ACOX2	ACOX2_HUMAN
O15254	ACOX3 BRCOX PRCOX	ACOX3_HUMAN
Q96CM8	ACSF2 UNQ493/PRO1009	ACSF2_HUMAN
O95573	ACSL3 ACS3 FACL3 LACS3	ACSL3_HUMAN
Q9H6R3	ACSS3	ACSS3_HUMAN
P60709	ACTB	ACTB_HUMAN
P63261	ACTG1 ACTG	ACTG_HUMAN
Q8TC94	ACTL9 ACTL7C HSD21	ACTL9_HUMAN
P42025	ACTR1B CTRN2	ACTY_HUMAN
P31946	YWHAB	1433B_HUMAN
P31947	SFN HME1	1433S_HUMAN
P04439	HLA-A HLAA	1A03_HUMAN
Q96QU6	ACCS PHACS	1A1L1_HUMAN
P30447	HLA-A HLAA	1A23_HUMAN
P05534	HLA-A HLAA	1A24_HUMAN
P16188	HLA-A HLAA	1A30_HUMAN
P11171	EPB41 E41P	41_HUMAN
Q5T5F5	ADAMTSL4-AS1 C1orf138	A4AS1_HUMAN
Q9NRG9	AAAS ADRACALA GL003	AAAS_HUMAN
Q86V21	AACS ACSF1	AACS_HUMAN
Q9Y478	PRKAB1 AMPK	AAKB1_HUMAN
Q9UGI9	PRKAG3 AMPKG3	AAKG3_HUMAN
Q4LEZ3	AARD C8orf85	AARD_HUMAN
Q9UH17	APOBEC3B	ABC3B_HUMAN
Q8IUX4	APOBEC3F	ABC3F_HUMAN
Q8N139	ABCA6	ABCA6_HUMAN
O75027	ABCB7 ABC7	ABCB7_HUMAN
O60706	ABCC9 SUR2	ABCC9_HUMAN
Q8WTS1	ABHD5 NCIE2 CGI-58	ABHD5_HUMAN
Q6H8Q1	ABLIM2 KIAA1808	ABLM2_HUMAN
Q12979	ABR	ABR_HUMAN
P16219	ACADS	ACADS_HUMAN
Q96P50	ACAP3 CENTB5 KIAA1716	ACAP3_HUMAN
O00400	SLC33A1 ACATN AT1	ACATN_HUMAN
Q9BR61	ACBD6	ACBD6_HUMAN
Q8N6N7	ACBD7	ACBD7_HUMAN
Q3MIX3	ADCK5	ADCK5_HUMAN
Q08462	ADCY2 KIAA1060	ADCY2_HUMAN
P35612	ADD2 ADDB	ADDB_HUMAN
P02750	LRG1 LRG	A2GL_HUMAN
A8K2U0	A2ML1 CPAMD9	A2ML1_HUMAN
Q9UNA3	A4GNT	A4GCT_HUMAN
O95477	ABCA1 ABC1 CERP	ABCA1_HUMAN
Q8WWZ7	ABCA5 KIAA1888	ABCA5_HUMAN
P45844	ABCG1 ABC8 WHT1	ABCG1_HUMAN
Q9UNQ0	ABCG2 ABCP BCRP BCRP1 MXR	ABCG2_HUMAN
Q9H221	ABCG8	ABCG8_HUMAN
Q8N2K0	ABHD12 C20orf22	ABD12_HUMAN
Q9BUJ0	ABHD14A UNQ1913/PRO4373	ABHEA_HUMAN
O14639	ABLIM1 ABLIM KIAA0059 LIMAB1	ABLM1_HUMAN
O94929	ABLIM3 KIAA0843 HMFN1661	ABLM3_HUMAN
Q9BYF1	ACE2 UNQ868/PRO1885	ACE2_HUMAN
Q16570	ACKR1 DARC FY GPD	ACKR1_HUMAN
Q9NPB9	ACKR4 CCBP2 CCR11 CCRL1 VSHK1	ACKR4_HUMAN
Q8N1Q8	THEM5 ACOT15	ACO15_HUMAN
P21399	ACO1 IREB1	ACOC_HUMAN
Q99798	ACO2	ACON_HUMAN
Q86TX2	ACOT1 CTE1	ACOT1_HUMAN
Q4G176	ACSF3 PSEC0197	ACSF3_HUMAN
P62258	YWHAE	1433E_HUMAN
P27348	YWHAQ	1433T_HUMAN
P18462	HLA-A HLAA	1A25_HUMAN
P30512	HLA-A HLAA	1A29_HUMAN
Q15173	PPP2R5B	2A5B_HUMAN
Q66LE6	PPP2R2D KIAA1541	2ABD_HUMAN
Q9TQE0	HLA-DRB1	2B19_HUMAN
Q9GIY3	HLA-DRB1	2B1E_HUMAN
P78314	SH3BP2 3BP2 RES4-23	3BP2_HUMAN
Q13541	EIF4EBP1	4EBP1_HUMAN
O60516	EIF4EBP3	4EBP3_HUMAN
Q9P1F3	ABRACL C6orf115 HSPC280 PRO2013	ABRAL_HUMAN
Q15027	ACAP1 CENTB1 KIAA0050	ACAP1_HUMAN
