Entry	Entry_name	Gene_names
A0JLT9	A0JLT9_HUMAN	SF3B1
A0N071	A0N071_HUMAN	HBD
A0N0X8	A0N0X8_HUMAN	CYP1A1
A0PJA6	A0PJA6_HUMAN	TF
A1A4E9	A1A4E9_HUMAN	KRT13
A1A4F3	A1A4F3_HUMAN	SEPSECS
A1A4T0	A1A4T0_HUMAN	RIN2
A1A4Y4	IRGM_HUMAN	IRGM
A1A515	A1A515_HUMAN	FGF8
A1A5C9	A1A5C9_HUMAN	PITPNM3
A1L0U9	A1L0U9_HUMAN	DMD
A1L2Z2	A1L2Z2_HUMAN	MYH14
A1L3A3	A1L3A3_HUMAN	CNTN2
A1L3Y1	A1L3Y1_HUMAN	SYT14
A1L484	A1L484_HUMAN	ARSE
A1L4Q0	A1L4Q0_HUMAN	DGKE
A1X283	SPD2B_HUMAN	SH3PXD2B
A2A2G4	A2A2G4_HUMAN	ALG6
A2A3E3	A2A3E3_HUMAN	PCDH15
A2A3E6	A2A3E6_HUMAN	PCDH15
A2A3E7	A2A3E7_HUMAN	PCDH15
A2A3E8	A2A3E8_HUMAN	PCDH15
A2A3U5	A2A3U5_HUMAN	hCG_20471
A2IBA6	A2IBA6_HUMAN	LIPH
A2IDD5	CCD78_HUMAN	CCDC78
A2RRP1	NBAS_HUMAN	NBAS
A2RU94	A2RU94_HUMAN	RAB27A
A2RUM7	A2RUM7_HUMAN	RPL5
A2RUU9	A2RUU9_HUMAN	PCM1
A2TDB8	A2TDB8_HUMAN	CSRP3
A2TDC0	A2TDC0_HUMAN	TCAP
A2VDG3	A2VDG3_HUMAN	CSF1R
A3KME0	A3KME0_HUMAN	FANCF
A3KPE2	A3KPE2_HUMAN	APOC3
A3QNQ0	A3QNQ0_HUMAN	TGFBR2
A4D0W4	A4D0W4_HUMAN	AASS
A4D0Y8	A4D0Y8_HUMAN	LEP
A4D126	ISPD_HUMAN	ISPD
A4D1B1	A4D1B1_HUMAN	CD36
A4D1D2	A4D1D2_HUMAN	ABCB1
A4D1F7	A4D1F7_HUMAN	CCM1
A4D1U5	A4D1U5_HUMAN	FLJ10842
A4D1W6	A4D1W6_HUMAN	C7orf11
A4FU71	A4FU71_HUMAN	C3orf60
A4FUA5	A4FUA5_HUMAN	ANTXR2
A4FVA8	A4FVA8_HUMAN	DFNA5
A4FVB9	A4FVB9_HUMAN	NRXN1
A4IF54	A4IF54_HUMAN	TK2
A4LAA3	A4LAA3_HUMAN	ATRX
A4QPA9	A4QPA9_HUMAN	MAP2K1
