HPO_term	GO_term	Co-occurrence_similarity_(S)
HP:0000003	GO:0060271	0.2824
HP:0000006	GO:0005515	0.5850
HP:0000006	GO:0005634	0.3714
HP:0000006	GO:0005654	0.2804
HP:0000006	GO:0005737	0.3510
HP:0000006	GO:0005829	0.3008
HP:0000006	GO:0005886	0.3683
HP:0000006	GO:0005887	0.2129
HP:0000006	GO:0016020	0.2076
HP:0000006	GO:0070062	0.2929
HP:0000007	GO:0005515	0.5734
HP:0000007	GO:0005634	0.2845
HP:0000007	GO:0005654	0.2163
HP:0000007	GO:0005737	0.3392
HP:0000007	GO:0005829	0.3111
HP:0000007	GO:0005886	0.3309
HP:0000007	GO:0016020	0.2172
HP:0000007	GO:0070062	0.3355
HP:0000008	GO:0036297	0.2826
HP:0000008	GO:0043240	0.2025
HP:0000010	GO:0036297	0.2342
HP:0000012	GO:0007005	0.2642
HP:0000012	GO:0034599	0.2000
HP:0000012	GO:0043014	0.2000
HP:0000012	GO:1901215	0.2979
HP:0000015	GO:0030199	0.2632
HP:0000015	GO:0043588	0.2500
HP:0000015	GO:0048407	0.2069
HP:0000021	GO:0003091	0.2222
HP:0000022	GO:0001880	0.4444
HP:0000022	GO:0007530	0.3636
HP:0000022	GO:0007548	0.2857
HP:0000022	GO:2000020	0.3333
HP:0000025	GO:0006281	0.2195
HP:0000025	GO:0036297	0.5098
HP:0000025	GO:0043240	0.4211
HP:0000028	GO:0005515	0.2528
HP:0000028	GO:0005634	0.2386
HP:0000028	GO:0005654	0.2459
HP:0000031	GO:0001916	0.3000
HP:0000031	GO:0005143	0.2222
HP:0000031	GO:0016045	0.2222
HP:0000031	GO:0032695	0.2500
HP:0000031	GO:0032715	0.2353
HP:0000031	GO:0032729	0.3077
HP:0000031	GO:0032733	0.2000
HP:0000031	GO:0032740	0.2105
HP:0000031	GO:0034341	0.2000
HP:0000031	GO:0042520	0.2500
HP:0000031	GO:0051135	0.2500
HP:0000031	GO:0051770	0.2353
HP:0000033	GO:0007224	0.2105
HP:0000033	GO:0035869	0.4375
HP:0000033	GO:0036038	0.6000
HP:0000033	GO:0060271	0.2500
HP:0000034	GO:0000104	0.2353
HP:0000034	GO:0001944	0.3333
HP:0000034	GO:0005749	0.3333
HP:0000034	GO:0006099	0.2000
HP:0000034	GO:0006121	0.2222
HP:0000034	GO:0010975	0.2105
HP:0000034	GO:0045273	0.2500
HP:0000034	GO:0048010	0.2000
HP:0000034	GO:0048039	0.2353
HP:0000035	GO:0007601	0.2388
HP:0000036	GO:0000104	0.3077
HP:0000036	GO:0005749	0.4286
HP:0000036	GO:0006099	0.2308
HP:0000036	GO:0006121	0.2857
HP:0000036	GO:0006564	0.3077
HP:0000036	GO:0009060	0.2222
